Date,Time,Data,MMSI,Type,Message,NMEA,Slot,Slots
Tue Jul 22 2025,21:08:02,6077f7bc884c13148132012c54a0249820820820,503181090,Static data report,"Name: SALT SHAKER II","!AIVDM,1,1,,,H7Oog8Q<4iB1<P4dE:0TV222220,2*55
",100,1
Tue Jul 22 2025,21:08:03,0c7bbd22303f00032b07e9f5d5291b741188006513,518998156,Position report (Interrogated),"Lat: -17.7687° Lon: 177.172° Speed: 0 knts Course: 293.2° Status: Under way using engine","!AIVDM,1,1,,,37fu8S0w00<c1vWmmBTKM16806DC,0*3d
",133,1
Tue Jul 22 2025,21:08:07,6077f7bc892404d0c0000038db3d71d200501450bc,503181090,Static data report,"Type: Vessel - Sailing Vendor ID: AMC Callsign: 863514","!AIVDM,1,1,,,H7Oog8TT1=30000pnkmilP1@552t,0*22
",265,1
Tue Jul 22 2025,21:08:07,4877f05e200000b2b190cf5d4d61e10ff8e5de0006,503060360,Standard Class B equipment position report,"Lat: -17.7709° Lon: 177.187° Speed: 0 knts Course: 360°","!AIVDM,1,1,,,B7OhGR000;:iT<uMCF7Q3wSUoP06,0*30
",292,1
Tue Jul 22 2025,21:08:15,487a128ba8000132b1bdc75d4f45132ff9e54e0006,512008938,Standard Class B equipment position report,"Lat: -17.7701° Lon: 177.189° Speed: 0.1 knts Course: 30.6°","!AIVDM,1,1,,,B7`BRrP00C:igLMMClDC;wWUCP06,0*08
",578,1
Tue Jul 22 2025,21:08:26,6057d67e80641341c40000000000000000000000,368418720,Static data report,"Name: YAMA1","!AIVDM,1,1,,,H5OFO`1T4l74000000000000000,2*30
",995,1
Tue Jul 22 2025,21:08:36,6077f04ed04cc2504054998076504d9000000000,503059380,Static data report,"Name: SLIPPERY GYPSY","!AIVDM,1,1,,,H7OhCe1<hU10E9V0MU1=T000000,2*70
",1368,1
Tue Jul 22 2025,21:08:36,6057d67e81244d25057e2bd7111cf6d37048103100,368418720,Static data report,"Type: Vessel - Sailing Vendor ID: SRTE_"/ Callsign: WDQ3647","!AIVDM,1,1,,,H5OFO`4TCBD5ORgG4Aknlo184340,0*68
",1374,1
Tue Jul 22 2025,21:08:39,6077f7c138201410640000000000000000000000,503181390,Static data report,"Name: HAPPY","!AIVDM,1,1,,,H7OohCPP511T000000000000000,2*40
",1491,1
Tue Jul 22 2025,21:08:46,6077f04ed1243960c6f98ed31f8c40000000000000,503059380,Static data report,"Type: Vessel - Sailing Vendor ID: NVCF>X; Callsign: SG81","!AIVDM,1,1,,,H7OhCe4T>F36vHsC7pi000000000,0*14
",1753,1
